iter	Passed	Remaining
493	600	615
494	601	613
495	602	612
496	604	611
497	605	610
498	606	608
499	607	607
500	608	605
501	609	604
502	611	604
503	612	602
504	613	601
505	614	600
506	615	598
507	616	597
508	617	595
509	618	594
510	620	593
511	621	592
512	622	590
513	623	589
514	625	589
515	627	588
516	628	586
517	629	586
518	631	584
519	632	583
520	632	581
521	633	580
522	634	579
523	635	577
524	636	576
525	638	575
526	640	574
527	641	573
528	642	572
529	643	570
530	644	569
531	645	567
532	646	566
533	647	565
534	649	564
535	649	562
536	651	561
537	652	559
538	652	558
539	654	557
540	656	557
541	658	556
542	659	554
543	660	553
544	661	551
545	661	550
546	662	549
547	664	547
548	665	546
549	666	545
550	667	543
551	668	542
552	670	542
553	671	540
554	673	539
555	674	538
556	675	537
557	676	535
558	677	534
559	678	533
560	679	531
561	680	530
562	681	528
563	682	527
564	684	527
565	685	525
566	687	524
567	688	523
568	689	522
569	690	520
570	691	519
571	692	518
572	693	516
573	694	515
574	695	514
575	696	512
576	697	511
577	700	511
578	701	510
579	702	508
580	703	507
581	704	506
582	705	504
583	706	503
584	708	502
585	709	501
586	710	499
587	711	498
588	712	496
589	713	495
590	716	495
591	719	496
592	721	495
593	722	493
594	723	492
595	724	491
596	726	490
597	727	488
598	729	488
599	730	487
600	731	485
601	732	484
602	733	483
603	735	481
604	736	480
605	736	479
606	737	477
607	738	476
608	739	475
609	740	473
610	741	472
611	744	472
612	745	470
613	747	469
614	748	468
615	749	466
616	750	465
617	751	464
618	752	463
619	753	461
620	754	460
621	755	459
622	756	457
623	758	457
624	759	455
625	760	454
626	761	453
627	762	451
628	763	450
629	764	449
630	765	447
631	766	446
632	767	445
633	769	444
634	770	442
635	771	441
636	774	441
637	775	440
638	777	439
639	778	438
640	779	436
641	781	435
642	782	434
643	783	432
644	784	431
645	785	430
646	786	429
647	790	429
648	791	428
649	792	426
650	793	425
651	794	424
652	795	422
653	796	421
654	797	420
655	798	418
656	799	417
657	800	416
658	801	414
659	804	414
660	805	413
661	807	412
662	808	410
663	809	409
664	810	408
665	811	406
666	812	405
667	813	404
668	814	403
669	815	401
670	817	400
671	819	399
672	820	398
673	822	397
674	823	396
675	824	394
676	825	393
677	826	392
678	827	390
679	827	389
680	829	388
681	830	387
682	831	385
683	833	385
684	834	383
685	835	382
686	836	381
687	837	379
688	838	378
689	840	377
690	841	376
691	842	374
692	843	373
693	844	372
694	845	370
695	847	370
696	849	369
697	850	368
698	851	366
699	852	365
700	853	364
701	854	362
702	856	361
703	857	360
704	858	359
705	859	357
706	860	356
707	861	355
708	863	354
709	864	353
710	866	352
711	867	350
712	868	349
713	869	348
714	870	346
715	871	345
716	872	344
717	873	343
718	874	341
719	878	341
720	880	340
721	881	339
722	883	338
723	884	337
724	885	335
725	886	334
726	887	333
727	888	332
728	889	330
729	891	329
730	893	328
731	894	327
732	895	326
733	896	324
734	897	323
735	898	322
736	899	321
737	900	319
738	901	318
739	902	317
740	903	315
741	904	314
742	906	313
743	908	312
744	909	311
745	911	310
746	912	308
747	913	307
748	914	306
749	915	305
750	917	304
751	918	303
752	919	301
753	922	300
754	923	299
755	924	298
756	925	297
757	927	296
758	928	294
759	929	293
760	930	292
761	931	290
762	932	289
763	933	288
764	934	287
765	935	285
766	937	284
767	938	283
768	939	282
769	940	281
770	941	279
771	942	278
772	943	277
773	944	275
774	945	274
775	946	273
776	947	272
777	948	270
778	949	269
779	952	268
780	953	267
781	954	266
782	955	264
783	956	263
784	957	262
785	958	260
786	959	259
787	960	258
788	961	257
789	962	255
790	963	254
791	964	253
792	967	252
793	970	251
794	971	250
795	972	249
796	973	248
797	974	246
798	975	245
799	976	244
800	977	242
801	978	241
802	979	240
803	981	239
804	982	238
805	983	236
806	984	235
807	985	234
808	987	233
809	988	231
810	989	230
811	990	229
812	991	228
813	992	226
814	993	225
815	994	224
816	997	223
817	998	222
818	999	220
819	1001	219
820	1002	218
821	1003	217
822	1004	215
823	1005	214
824	1006	213
825	1007	212
826	1008	210
827	1009	209
828	1011	208
829	1013	207
830	1014	206
831	1015	205
832	1016	203
833	1017	202
834	1018	201
835	1019	199
836	1020	198
837	1021	197
838	1022	196
839	1023	194
840	1024	193
841	1026	192
842	1027	191
843	1028	190
844	1029	188
845	1030	187
846	1031	186
847	1032	184
848	1033	183
849	1034	182
850	1035	181
851	1036	179
852	1037	178
853	1038	177
854	1039	176
855	1041	175
856	1042	173
857	1043	172
858	1044	171
859	1045	170
860	1046	168
861	1047	167
862	1048	166
863	1049	165
864	1049	163
865	1050	162
866	1051	161
867	1053	160
868	1053	158
869	1055	157
870	1056	156
871	1057	155
872	1058	154
873	1059	152
874	1060	151
875	1061	150
876	1062	149
877	1063	147
878	1064	146
879	1065	145
880	1067	144
881	1068	142
882	1068	141
883	1070	140
884	1071	139
885	1072	138
886	1073	136
887	1074	135
888	1075	134
889	1076	133
890	1077	131
891	1078	130
892	1079	129
893	1081	128
894	1082	127
895	1085	126
896	1087	124
897	1088	123
898	1089	122
899	1090	121
900	1091	119
901	1092	118
902	1093	117
903	1094	116
904	1095	114
905	1096	113
906	1097	112
907	1098	111
908	1100	110
909	1101	108
910	1103	107
911	1104	106
912	1105	105
913	1107	104
914	1108	102
915	1109	101
916	1110	100
917	1111	99
918	1112	98
919	1114	96
920	1115	95
921	1116	94
922	1117	93
923	1118	91
924	1119	90
925	1120	89
926	1121	88
927	1122	87
928	1123	85
929	1124	84
930	1125	83
931	1126	82
932	1127	80
933	1128	79
934	1130	78
935	1131	77
936	1132	76
937	1133	74
938	1134	73
939	1135	72
940	1136	71
941	1137	70
942	1137	68
943	1138	67
944	1139	66
945	1141	65
946	1142	63
947	1143	62
948	1144	61
949	1145	60
950	1146	59
951	1147	57
952	1148	56
953	1149	55
954	1150	54
955	1151	53
956	1152	51
957	1153	50
958	1154	49
959	1155	48
960	1156	46
961	1157	45
962	1159	44
963	1160	43
964	1161	42
965	1162	40
966	1163	39
967	1164	38
968	1165	37
969	1166	36
970	1167	34
971	1168	33
972	1169	32
973	1170	31
974	1171	30
975	1172	28
976	1174	27
977	1174	26
978	1175	25
979	1176	24
980	1177	22
981	1178	21
982	1179	20
983	1180	19
984	1181	17
985	1182	16
986	1183	15
987	1184	14
988	1185	13
989	1187	11
990	1188	10
991	1190	9
992	1192	8
993	1193	7
994	1195	6
995	1196	4
996	1197	3
997	1198	2
998	1199	1
999	1200	0
